+-------------------+--------------------+----------------+----------+-----------------+----------------+----------------+--------------------+
|      resnet18     |     layer name     | Neuron numbers | MACs (M) |    Parameters   |  Input shape   |  Output shape  |       Kernel       |
+-------------------+--------------------+----------------+----------+-----------------+----------------+----------------+--------------------+
|      input_1      |     InputLayer     |       -        |    -     |        -        |       -        |       -        |         -          |
|       conv1       |       Conv2D       |    760384.0    |  111.78  |       9408      | (224, 224, 3)  | (109, 109, 64) |       (7, 7)       |
|      conv1_bn     | BatchNormalization |       0        |   1.52   |       256       | (109, 109, 64) | (109, 109, 64) |         -          |
|   max_pooling2d   |    MaxPooling2D    |     193600     |   0.57   |        0        | (109, 109, 64) |  (55, 55, 64)  | 1.9818181818181817 |
|   res1a_branch2a  |       Conv2D       |    193600.0    |  111.51  |      36864      |  (55, 55, 64)  |  (55, 55, 64)  |       (3, 3)       |
| res1a_branch2a_bn | BatchNormalization |       0        |   0.39   |       256       |  (55, 55, 64)  |  (55, 55, 64)  |         -          |
|   res1a_branch2b  |       Conv2D       |    193600.0    |  111.51  |      36864      |  (55, 55, 64)  |  (55, 55, 64)  |       (3, 3)       |
| res1a_branch2b_bn | BatchNormalization |       0        |   0.39   |       256       |  (55, 55, 64)  |  (55, 55, 64)  |         -          |
|   res1b_branch2a  |       Conv2D       |    193600.0    |  111.51  |      36864      |  (55, 55, 64)  |  (55, 55, 64)  |       (3, 3)       |
| res1b_branch2a_bn | BatchNormalization |       0        |   0.39   |       256       |  (55, 55, 64)  |  (55, 55, 64)  |         -          |
|   res1b_branch2b  |       Conv2D       |    193600.0    |  111.51  |      36864      |  (55, 55, 64)  |  (55, 55, 64)  |       (3, 3)       |
| res1b_branch2b_bn | BatchNormalization |       0        |   0.39   |       256       |  (55, 55, 64)  |  (55, 55, 64)  |         -          |
|   res2a_branch2a  |       Conv2D       |    100352.0    |   57.8   |      73728      |  (55, 55, 64)  | (28, 28, 128)  |       (3, 3)       |
| res2a_branch2a_bn | BatchNormalization |       0        |   0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
|   res2a_branch1   |       Conv2D       |    100352.0    |   6.42   |       8192      |  (55, 55, 64)  | (28, 28, 128)  |       (1, 1)       |
|   res2a_branch2b  |       Conv2D       |    100352.0    |  115.61  |      147456     | (28, 28, 128)  | (28, 28, 128)  |       (3, 3)       |
|  res2a_branch1_bn | BatchNormalization |       0        |   0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
| res2a_branch2b_bn | BatchNormalization |       0        |   0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
|   res2b_branch2a  |       Conv2D       |    100352.0    |  115.61  |      147456     | (28, 28, 128)  | (28, 28, 128)  |       (3, 3)       |
| res2b_branch2a_bn | BatchNormalization |       0        |   0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
|   res2b_branch2b  |       Conv2D       |    100352.0    |  115.61  |      147456     | (28, 28, 128)  | (28, 28, 128)  |       (3, 3)       |
| res2b_branch2b_bn | BatchNormalization |       0        |   0.2    |       512       | (28, 28, 128)  | (28, 28, 128)  |         -          |
|   res3a_branch2a  |       Conv2D       |    50176.0     |   57.8   |      294912     | (28, 28, 128)  | (14, 14, 256)  |       (3, 3)       |
| res3a_branch2a_bn | BatchNormalization |       0        |   0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
|   res3a_branch1   |       Conv2D       |    50176.0     |   6.42   |      32768      | (28, 28, 128)  | (14, 14, 256)  |       (1, 1)       |
|   res3a_branch2b  |       Conv2D       |    50176.0     |  115.61  |      589824     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  res3a_branch1_bn | BatchNormalization |       0        |   0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| res3a_branch2b_bn | BatchNormalization |       0        |   0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
|   res3b_branch2a  |       Conv2D       |    50176.0     |  115.61  |      589824     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
| res3b_branch2a_bn | BatchNormalization |       0        |   0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
|   res3b_branch2b  |       Conv2D       |    50176.0     |  115.61  |      589824     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
| res3b_branch2b_bn | BatchNormalization |       0        |   0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
|   res4a_branch2a  |       Conv2D       |    25088.0     |   57.8   |     1179648     | (14, 14, 256)  |  (7, 7, 512)   |       (3, 3)       |
| res4a_branch2a_bn | BatchNormalization |       0        |   0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
|   res4a_branch1   |       Conv2D       |    25088.0     |   6.42   |      131072     | (14, 14, 256)  |  (7, 7, 512)   |       (1, 1)       |
|   res4a_branch2b  |       Conv2D       |    25088.0     |  115.61  |     2359296     |  (7, 7, 512)   |  (7, 7, 512)   |       (3, 3)       |
